timestamp,x,y,z
3703953,-0.598227,9.698457,2.1679747
3703963,-0.6006199,9.801352,2.0196145
3703972,-0.64129937,9.765458,1.9358627
3703981,-0.46422416,9.535739,1.8545038
3703991,-0.6795859,9.535739,2.00765
3704000,-0.54079723,9.518989,2.2469406
3704010,-0.48336744,9.583597,2.1177237
3704019,-0.46901,9.557275,2.0626867
3704028,-0.46422416,9.557275,2.029186
3704038,-0.43790218,9.507024,1.952613
3704047,-0.5025107,9.416093,2.1225095
3704056,-0.55036885,9.614705,2.1751535
3704066,-0.69155043,9.743921,2.1775463
3704075,-0.6867646,9.810924,2.1057591
3704085,-0.7154795,9.708028,2.132081
3704094,-0.7059079,9.664956,2.1057591
3704103,-0.62454903,9.6410265,2.0267932
3704113,-0.5838696,9.542917,1.9382555
3704122,-0.6197632,9.442415,2.029186
3704131,-0.45943835,9.47113,2.1966896
3704141,-0.4977249,9.578811,2.2062612
3704150,-0.46901,9.607526,2.2062612
3704161,-0.42593765,9.648206,2.1799393
3704170,-0.5312256,9.69367,2.1895108
3704180,-0.57429796,9.739136,2.1512244
3704189,-0.598227,9.650599,2.187118
3704199,-0.571905,9.559668,2.1225095
3704208,-0.51208234,9.530953,2.005257
3704218,-0.48815325,9.564454,2.0148287
3704227,-0.5551547,9.518989,1.9717562
3704236,-0.57908374,9.533346,2.0196145
3704245,-0.6197632,9.588383,2.1009734
3704254,-0.57669085,9.612311,2.0148287
3704264,-0.5240469,9.66017,1.9454343
3704273,-0.53840435,9.655384,1.9502201
3704282,-0.5886554,9.629062,2.1416528
3704292,-0.6269419,9.631455,2.2301903
3704301,-0.6293348,9.648206,2.084223
3704312,-0.5288327,9.650599,2.0148287
3704321,-0.45465255,9.538132,2.3785505
3704331,-0.51926106,9.633848,2.1488314
3704340,-0.6006199,9.56206,2.1584032
3704350,-0.49293905,9.5907755,1.902362
3704359,-0.6532639,9.597955,2.1488314
3704369,-0.6125845,9.435237,2.2254045
3704378,-0.60779864,9.66017,1.9932925
3704387,-0.49054617,9.746315,1.8736471
3704396,-0.46661708,9.523774,2.057901
3704405,-0.47618872,9.54531,2.0411506
3704415,-0.45943835,9.662563,1.9191123
3704424,-0.5886554,9.502238,1.7827165
3704433,-0.5910483,9.5907755,1.899969
3704443,-0.63412064,9.593168,2.0244002
3704452,-0.59583414,9.507024,2.184725
3704462,-0.5695121,9.566847,1.9908996
3704471,-0.5886554,9.475916,1.902362
3704480,-0.5551547,9.296448,2.2014754
3704490,-0.54079723,9.45438,2.4048727
3704499,-0.5312256,9.813316,2.2325833
3704508,-0.53840435,9.894675,1.7803236
3704518,-0.6652284,9.763065,1.3687434
3704527,-0.677193,9.56924,1.7396442
3704538,-0.7705164,9.576418,1.8592896
3704547,-0.6867646,9.45438,2.187118
3704557,-0.60301286,9.497452,2.263691
3704566,-0.5910483,9.619491,1.9741492
3704576,-0.4402951,9.612311,1.8712541
3704585,-0.42354473,9.495059,1.9238981
3704595,-0.46901,9.605133,1.6558924
3704604,-0.3613291,9.557275,1.6223917
3704613,-0.34218585,9.483095,1.6415349
3704622,-0.5144752,9.468738,1.902362
3704631,-0.45704544,9.643419,1.6941789
3704641,-0.48815325,9.798959,1.2802058
3704650,-0.52165395,9.272519,1.5051392
3704659,-0.7944455,9.286877,2.0531151
3704669,-0.677193,9.597955,2.1177237
3704678,-0.63172776,9.765458,2.495803
3704688,-0.598227,9.935354,2.6872358
3704697,-0.5072965,10.203361,2.7566302
3704706,-0.3828653,10.311041,2.627413
3704716,-0.32064968,10.440258,2.4934103
3704725,-0.42593765,10.344542,2.2541194
3704734,-0.5934412,10.11243,2.3546216
3704744,-0.63651353,9.873138,2.390515
3704753,-0.5934412,9.731957,2.5986981
3704763,-0.46661708,9.803744,2.6010911
3704772,-0.48097453,9.73435,2.4359803
3704781,-0.4450809,9.526167,2.3043704
3704791,-0.40440148,9.368236,2.368979
3704800,-0.2919348,9.583597,1.7683591
3704809,-0.21057591,9.571632,1.1868824
3704819,-0.03828653,9.061943,1.4405307
3704828,-0.09571633,9.629062,1.5314612
3704838,-0.15075321,9.715207,1.9956853
3704847,-0.45225963,9.619491,1.7731448
3704856,-0.48336744,9.916211,1.926291
3704866,-0.5264398,9.9927845,1.8281817
3704875,-0.6795859,9.574025,2.2110472
3704884,-0.63412064,9.451987,2.28762
3704894,-0.6173703,9.516596,2.2469406
3704903,-0.6173703,9.597955,2.08183
3704914,-0.5527618,9.530953,1.9358627
3704923,-0.49293905,9.703242,1.902362
3704933,-0.52165395,9.703242,2.057901
3704942,-0.3613291,9.755886,1.9861137
3704952,-0.46901,9.617098,1.978935
3704961,-0.4139731,9.588383,1.899969
3704971,-0.5336185,9.521381,1.9837208
3704980,-0.30629224,9.478309,2.1942968
3704989,-0.3517575,9.511809,2.2086542
3704998,-0.30389932,9.763065,1.9932925
3705007,-0.24407662,9.4998455,2.2254045
3705017,-0.39722276,9.652991,2.1057591
3705026,-0.4450809,9.748708,2.1177237
3705035,-0.27039862,9.786994,2.2852273
3705045,-0.43790218,9.70085,2.237369
3705054,-0.45225963,9.66017,2.2589052
3705065,-0.44747382,9.58599,2.2230117
3705074,-0.37807947,9.554882,2.2277975
3705084,-0.42115182,9.509417,2.4048727
3705093,-0.25604117,9.463951,2.3785505
3705103,-0.24168372,9.564454,2.187118
3705112,-0.30150643,9.507024,2.0339718
3705122,-0.59583414,9.542917,2.132081
3705131,-0.40200856,9.607526,2.0363648
3705140,-0.4498667,9.483095,2.057901
3705149,-0.6939433,9.566847,1.9693633
3705158,-0.56711924,9.404129,2.2325833
3705168,-0.37568656,9.533346,2.237369
3705177,-0.27757734,9.5500965,2.4981961
3705186,-0.035893623,9.487881,2.1201165
3705196,-0.22254045,9.648206,2.0722585
3705205,-0.5814767,9.619491,2.110545
3705215,-0.48097453,9.650599,1.9215052
3705224,-0.47618872,9.5500965,2.0244002
3705233,-0.37329367,9.621883,2.0172215
3705243,-0.3804724,9.619491,1.9238981
3705252,-0.33022133,9.509417,2.2493336
3705261,-0.67240715,9.394557,2.4623024
3705271,-0.2368979,9.906639,1.3184924
3705280,-0.31107804,9.739136,0.83751786
3705291,-0.08135887,8.880082,3.7114005
3705300,-0.1459674,9.777423,2.2206187
3705310,-0.69633627,9.746315,1.2275618
3705319,-0.5264398,9.253376,2.0914016
3705329,-0.5647263,9.710421,2.5221252
3705338,-0.48576033,9.432844,2.5986981
3705348,-0.41875893,9.633848,2.5077677
3705357,-0.33022133,9.509417,2.0746512
3705366,-0.22493336,9.516596,2.0674727
3705375,-0.14118157,9.617098,2.0435436
3705384,-0.30389932,9.667349,2.0196145
3705394,-0.33740005,9.566847,2.134474
3705403,-0.33022133,9.473523,2.132081
3705412,-0.33022133,9.478309,2.0196145
3705422,-0.30150643,9.303627,1.9382555
3705431,-0.43790218,9.363449,2.1009734
3705441,-0.45225963,9.384986,1.9191123
3705450,-0.33979294,9.351485,2.1153307
3705459,-0.26082698,9.317985,2.424016
3705469,-0.07896597,9.463951,2.2924058
3705478,-0.16511066,9.655384,2.060294
3705487,-0.22493336,9.353878,2.268477
3705497,-0.2919348,9.43763,2.060294
3705506,-0.27997026,9.571632,2.0937946
3705516,-0.39722276,9.4998455,1.9813279
3705525,-0.42593765,9.219875,2.4886243
3705534,-0.3326142,9.145695,2.9121692
3705544,-0.3565433,9.15766,2.9552414
3705553,-0.33979294,9.155267,2.811667
3705562,-0.30629224,9.303627,2.2086542
3705572,-0.2632199,9.533346,1.6152129
3705581,-0.25125536,9.552489,1.4764243
3705591,-0.23211208,9.387379,1.7540016
3705600,-0.17228939,9.468738,1.8856115
3705609,-0.071787246,9.58599,1.9454343
3705619,-0.13400285,9.578811,2.1177237
3705628,-0.15553902,9.607526,2.057901
3705637,-0.2632199,9.672134,1.9238981
3705647,-0.31347096,9.73435,1.7276796
3705656,-0.39243692,9.834852,1.926291
3705666,-0.40440148,9.897068,2.0866158
3705675,-0.3517575,9.930569,2.0937946
3705684,-0.31586388,9.861175,2.0411506
3705694,-0.24407662,9.803744,1.9932925
3705703,-0.28475606,9.662563,1.9861137
3705712,-0.21296883,9.564454,2.2277975
3705722,-0.28236315,9.650599,2.3809435
3705731,-0.33022133,9.664956,1.5458187
3705742,-0.33740005,10.002356,0.2584341
3705751,-0.14357449,8.925548,2.732701
3705761,-0.13160995,9.69367,3.5821834
3705770,-0.24168372,9.349092,1.586498
3705780,-0.3828653,9.523774,1.4620669
3705789,-0.35893622,9.593168,2.0985804
3705799,-0.31347096,9.219875,3.1036017
3705808,-0.20339718,9.461558,2.9241338
3705818,-0.2656128,9.588383,2.7925239
3705827,-0.31107804,9.624276,2.6944146
3705837,-0.32064968,9.748708,2.2732627
3705846,-0.30150643,9.818102,1.8688612
3705856,-0.31347096,9.58599,2.0387578
3705865,-0.31107804,9.574025,2.1679747
3705875,-0.31107804,9.619491,2.079437
3705884,-0.234505,9.617098,1.9980782
3705893,-0.28714898,9.631455,2.1895108
3705902,-0.27039862,9.655384,2.1368668
3705911,-0.25604117,9.6003475,2.165582
3705921,-0.2967206,9.54531,2.5149465
3705930,-0.24886245,9.609919,2.5460541
3705939,-0.25125536,9.667349,2.6106627
3705949,-0.27757734,9.461558,2.474267
